Serial,emg,label
852,1554,0
853,1584,0
854,1616,0
855,1585,0
856,1631,0
857,1712,0
858,1721,0
859,1683,0
860,1734,0
861,1662,0
862,1647,0
863,1584,0
864,1735,0
865,1869,0
866,1898,0
867,1789,0
868,1794,0
869,1831,0
870,1856,0
871,1804,0
872,1781,0
873,1681,0
874,1711,0
875,1655,0
876,1699,0
877,1650,0
878,1789,0
879,1805,0
880,1919,0
881,1819,0
882,1903,0
883,1803,0
884,1957,0
885,1828,0
886,1927,0
887,2004,0
888,2011,0
889,1911,0
890,1969,0
891,1873,0
892,1807,0
893,1798,0
894,1955,0
895,1840,0
896,1893,0
897,1895,0
898,1861,0
899,1887,0
900,1860,0
901,1818,0
902,1856,0
903,1909,0
904,1987,0
905,1929,0
906,1904,0
907,1883,0
908,1776,0
909,1750,0
910,1687,0
911,1651,0
912,1603,0
913,1586,0
914,1581,0
915,1601,0
916,1578,0
917,1621,0
918,1610,0
919,1616,0
920,1555,0
921,1599,0
922,1565,0
923,1554,0
924,1531,0
925,1569,0
926,1555,0
927,1648,0
928,1584,0
929,1625,0
930,1605,0
931,1687,0
932,1622,0
933,1631,0
934,1613,0
935,1643,0
936,1604,0
937,1655,0
938,1674,0
939,1697,0
940,1639,0
941,1643,0
942,1584,0
943,1627,0
944,1567,0
945,1607,0
946,1556,0
947,1584,0
948,1547,0
949,1555,0
950,1493,0
951,1558,0
952,1518,0
953,1535,0
954,1479,0
955,1525,0
956,1502,0
957,1524,0
958,1493,0
959,1535,0
960,1494,0
961,1511,0
962,1471,0
963,1521,0
964,1519,0
965,1520,0
966,1515,0
967,1566,0
968,1519,0
969,1518,0
970,1517,0
971,1561,0
972,1569,0
973,1566,0
974,1545,0
975,1579,0
976,1571,0
977,1553,0
978,1552,0
979,1571,1
980,1587,1
981,1583,1
982,1701,1
983,1762,1
984,1777,1
985,1670,1
986,1669,1
987,1655,1
988,1703,1
989,1737,1
990,1677,1
991,1707,1
992,1712,1
993,1687,1
994,1774,1
995,1783,1
996,1837,1
997,1891,1
998,1872,1
999,1851,1
1000,1941,1
1001,1921,1
1002,2013,1
1003,1951,1
1004,2059,1
1005,1991,1
1006,2128,1
1007,2032,1
1008,2207,1
1009,2285,1
1010,2381,1
1011,2433,1
1012,2366,1
1013,2638,1
1014,2451,1
1015,2222,1
1016,2333,1
1017,2254,1
1018,2272,1
1019,2117,1
1020,2111,1
1021,1957,1
1022,1900,1
1023,1787,1
1024,1763,1
1025,1664,1
1026,1693,1
1027,1646,1
1028,1707,1
1029,1684,1
1030,1691,1
1031,1678,1
1032,1673,1
1033,1650,1
1034,1648,1
1035,1597,1
1036,1691,1
1037,1648,1
1038,1665,1
1039,1679,1
1040,1687,1
1041,1668,1
1042,1609,1
1043,1618,1
1044,1676,1
1045,1712,1
1046,1645,1
1047,1616,1
1048,1615,1
1049,1614,1
1050,1585,0
1051,1594,0
1052,1597,0
1053,1613,0
1054,1559,0
1055,1559,0
1056,1552,0
1057,1554,0
1058,1498,0
1059,1520,0
1060,1520,0
1061,1553,0
1062,1488,0
1063,1494,0
1064,1510,0
1065,1547,0
1066,1486,0
1067,1519,0
1068,1503,0
1069,1535,0
1070,1488,0
1071,1547,0
1072,1549,0
1073,1578,0
1074,1518,0
1075,1551,0
1076,1482,0
1077,1535,0
1078,1484,0
1079,1551,0
1080,1475,0
1081,1514,0
1082,1507,0
1083,1571,0
1084,1546,0
1085,1559,0
1086,1553,0
1087,1518,0
1088,1472,0
1089,1514,1
1090,1503,1
1091,1586,1
1092,1663,1
1093,1715,1
1094,1742,1
1095,1697,1
1096,1648,1
1097,1674,1
1098,1739,1
1099,1808,1
1100,1823,1
1101,1915,1
1102,1840,1
1103,1950,1
1104,1949,1
1105,1971,1
1106,1953,1
1107,1974,1
1108,1862,1
1109,1872,1
1110,1951,1
1111,2088,1
1112,2171,1
1113,2239,1
1114,2354,1
1115,2301,1
1116,2164,1
1117,2352,1
1118,2667,1
1119,2529,1
1120,2536,1
1121,2725,1
1122,2979,1
1123,2847,1
1124,2547,1
1125,2352,1
1126,2346,1
1127,2194,1
1128,2081,1
1129,1951,1
1130,1888,1
1131,1775,1
1132,1770,1
1133,1709,1
1134,1769,1
1135,1712,1
1136,1755,1
1137,1665,1
1138,1666,1
1139,1617,1
1140,1611,1
1141,1626,1
1142,1664,1
1143,1598,1
1144,1635,1
1145,1569,1
1146,1667,1
1147,1628,1
1148,1651,1
1149,1594,1
1150,1619,1
1151,1554,1
1152,1576,1
1153,1515,1
1154,1559,1
1155,1535,1
1156,1562,1
1157,1526,1
1158,1600,1
1159,1535,1
1160,1554,0
1161,1506,0
1162,1572,0
1163,1565,0
1164,1567,0
1165,1493,0
1166,1552,0
1167,1530,0
1168,1561,0
1169,1520,0
1170,1546,0
1171,1533,0
1172,1584,0
1173,1571,0
1174,1682,0
1175,1639,0
1176,1671,0
1177,1663,0
1178,1741,0
1179,1709,0
1180,1648,0
1181,1606,0
1182,1616,0
1183,1596,0
1184,1654,1
1185,1669,1
