serial,fsr,emg
779,2814,2942
780,2822,2887
781,2806,2959
782,2782,2945
783,2781,2954
784,2790,2937
785,2777,2981
786,2778,2879
787,2781,2917
788,2782,2950
789,2787,3050
790,2775,3018
791,2781,3005
792,2775,2843
793,2798,2941
794,2795,2853
795,2800,2910
796,2805,2815
797,2822,2778
798,2832,2800
799,2833,2832
800,2834,2757
801,2819,2854
802,2819,2794
803,2777,2832
804,2778,2800
805,2775,2869
806,2775,2797
807,2770,3005
808,2797,2913
809,2815,2887
810,2817,2807
811,2810,2861
812,2827,2831
813,2855,2810
814,2870,2769
815,2870,2790
816,2876,2865
817,2864,2795
818,2878,2864
819,2867,2887
820,2861,2919
821,2864,2905
822,2863,2928
823,2864,2896
824,2863,2896
825,2857,2901
826,2850,2950
827,2823,2838
828,2787,2891
829,2736,2800
830,2672,2832
831,2673,2832
832,2672,2881
833,2703,2820
834,2733,2971
835,2746,2925
836,2778,2994
837,2799,2893
838,2796,3057
839,2800,2943
840,2796,2906
841,2801,2815
842,2795,2888
843,2789,2829
844,2795,2897
845,2788,2839
846,2766,2866
847,2736,2832
848,2611,2864
849,2427,2825
850,2182,2870
851,2026,2837
852,1781,2895
853,1626,2868
854,1313,2926
855,1189,2975
856,1057,2951
857,993,2902
858,842,2882
859,462,2911
860,297,2855
861,211,2737
862,112,2650
863,0,2544
864,0,2458
865,0,2350
866,0,2246
867,0,2165
868,0,2015
869,0,1881
870,0,1783
871,0,1706
872,0,1635
873,0,1577
874,0,1520
875,0,1533
876,0,1491
877,0,1504
878,0,1495
879,0,1535
880,0,1520
881,0,1523
882,0,1535
883,0,1591
884,0,1627
885,0,1663
886,0,1629
887,0,1643
888,0,1602
889,0,1616
890,0,1585
891,0,1565
892,0,1515
893,0,1517
894,0,1549
895,0,1552
896,0,1520
897,0,1522
898,0,1503
899,0,1521
900,0,1503
901,0,1498
902,0,1517
903,0,1520
904,0,1467
905,0,1465
906,0,1472
907,0,1502
908,0,1488
909,0,1488
910,0,1491
911,0,1494
912,0,1502
913,0,1506
914,0,1488
915,0,1495
916,0,1504
917,0,1483
918,0,1514
919,0,1503
920,0,1526
921,0,1517
922,0,1522
923,0,1525
924,0,1543
925,0,1532
926,0,1529
927,0,1499
928,0,1515
929,0,1506
930,0,1520
931,0,1499
932,0,1527
933,0,1519
934,0,1570
935,0,1535
936,0,1552
937,0,1521
938,0,1563
939,0,1520
940,0,1535
941,0,1511
942,0,1527
943,0,1519
944,0,1530
945,0,1514
946,0,1513
947,0,1510
948,0,1534
949,0,1514
950,0,1518
951,0,1517
952,0,1530
953,0,1546
954,0,1534
955,0,1533
956,0,1531
957,0,1535
958,0,1521
959,0,1522
960,0,1525
961,0,1557
962,0,1549
963,0,1533
964,0,1546
965,0,1553
966,0,1517
967,0,1509
968,0,1524
969,0,1555
970,0,1530
971,0,1533
972,0,1552
973,0,1638
974,0,1645
975,0,1691
976,0,1675
977,0,1714
978,0,1711
979,0,1765
980,0,1807
981,0,1913
982,0,1957
983,128,2098
984,349,2178
985,392,2315
986,487,2369
987,816,2425
988,1085,2666
989,1398,2816
990,1797,2885
991,1907,2938
992,1995,2896
993,2087,2934
994,2176,2934
995,2287,2954
996,2349,2944
997,2384,2960
998,2416,2940
999,2487,2992
1000,2544,2981
1001,2606,2887
1002,2657,2918
1003,2706,2960
1004,2745,3013
1005,2782,2929
1006,2807,2916
1007,2826,2881
1008,2845,2963
1009,2861,2831
1010,2879,2870
1011,2878,2843
1012,2892,2944
1013,2907,2818
1014,2934,2878
1015,2943,2789
1016,2946,2832
1017,2945,2767
1018,2944,2800
1019,2951,2759
1020,2947,2784
1021,2953,2801
1022,2960,2957
1023,2965,2944
1024,2961,3001
1025,2970,2896
1026,2973,2935
1027,2981,2889
1028,2981,2934
1029,2995,2843
1030,3001,2864
1031,2994,2837
1032,3002,2866
1033,2997,2864
1034,2999,2906
1035,3007,2934
1036,2993,2843
1037,2990,2817
1038,2992,2826
1039,2992,2806
1040,3001,2810
1041,3008,2800
1042,2999,2879
1043,2992,2891
1044,2989,2879
1045,2981,2893
1046,2961,2797
1047,2931,2881
1048,2901,2847
1049,2853,2870
1050,2798,2870
1051,2811,2883
1052,2794,2861
1053,2853,2853
1054,2896,2752
1055,2928,2801
1056,2939,2651
1057,2958,2782
1058,2960,2687
1059,2960,2802
1060,2962,2715
1061,2973,2782
1062,2978,2675
1063,2986,2855
1064,2989,2733
1065,2991,2802
1066,2976,2806
1067,2967,2864
1068,2933,2838
1069,2913,2965
1070,2919,2857
1071,2931,2926
1072,2956,2786
1073,2955,2902
1074,2945,2886
1075,2944,2881
1076,2931,2849
1077,2950,2903
1078,2957,2916
1079,2970,2885
1080,2974,2851
1081,2974,2799
1082,2930,2813
1083,2919,2802
1084,2928,2931
1085,2957,2979
1086,2960,2963
1087,2935,2995
1088,2911,2991
1089,2894,2959
1090,2869,2947
1091,2893,2960
1092,2926,2939
1093,2955,2939
1094,2975,3049
1095,2979,2928
1096,2982,3006
1097,2983,2914
1098,2987,2925
1099,2979,2931
1100,2976,3050
1101,2962,2894
1102,2960,2977
1103,2960,2967
1104,2970,3012
1105,2990,2941
1106,2992,3095
1107,2987,3007
1108,2995,3031
1109,2993,2910
1110,2993,3031
1111,2995,2951
1112,3001,3005
1113,3005,2919
1114,2994,2961
1115,2995,2909
1116,2992,2933
1117,2986,2825
1118,2991,2919
1119,2982,2900
1120,2924,2969
1121,2914,2908
1122,2924,2897
1123,2951,2899
1124,2973,2875
1125,2967,2903
1126,2960,2879
1127,2935,2912
1128,2943,2861
1129,2961,2935
1130,2987,2918
1131,2989,2992
1132,2946,2946
1133,2943,2915
1134,2960,2864
1135,2953,2871
1136,2959,2817
1137,2961,2895
1138,2959,2870
1139,2908,2899
1140,2867,2855
1141,2801,2918
1142,2673,2834
1143,2495,2928
1144,2352,2899
1145,2079,2967
1146,1712,2877
1147,1383,2935
1148,1040,2873
1149,642,2948
1150,464,2816
1151,417,2832
1152,0,2651
1153,0,2575
1154,0,2369
1155,0,2226
1156,0,1997
1157,0,1809
1158,0,1662
1159,0,1581
1160,0,1477
1161,0,1471
1162,0,1436
1163,0,1453
1164,0,1410
1165,0,1427
1166,0,1398
1167,0,1418
1168,0,1407
1169,0,1411
1170,0,1424
1171,0,1456
1172,0,1421
1173,0,1455
1174,0,1437
1175,0,1445
1176,0,1431
1177,0,1466
1178,0,1453
1179,0,1456
1180,0,1456
1181,0,1462
1182,0,1458
1183,0,1456
1184,0,1457
1185,0,1434
1186,0,1429
1187,0,1443
1188,0,1442
1189,0,1472
1190,0,1450
